id,image_url,image_url_suffix,imageUrls,product_url,color,occasion,size,width,brand_name,brand_name_en,model_name,Market_price,Lenskart_price,is_tbyb,tags,color_options,totalColorAvailable,is_ditto,classification,specifications,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,offerName,cmsLinkAndroid,cmsLinkIos,arModelAndroidUrl,arModelIOSUrl,arModelMsiteAndDesktopUrl,arModelOriginalUrl,qty,frameColorImage,subCollection,subCollectionId,relatedItems,isCygnusEnabled,isCashbackApplicable,searchProductName,prescriptionType,brand_logo,suited_for,inclusiveText,clUsage,offer_image
130815,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/Black-Blue-Full-Rim-Wayfarer-Vincent-Chase-Polarized-MIRAGE-VC-S11167-C7-Polarized-Sunglasses_vincent-chase-polarized-vc-s11167-c7-sunglasses_sunglasses_g_1612_1_118_02_2022.jpg,/v/i/Black-Blue-Full-Rim-Wayfarer-Vincent-Chase-Polarized-MIRAGE-VC-S11167-C7-Polarized-Sunglasses_vincent-chase-polarized-vc-s11167-c7-sunglasses_sunglasses_g_1612_1_118_02_2022.jpg,[],https://www.lenskart.com/vincent-chase-polarized-vc-s11167-c7-sunglasses.html,Black,Vacation,Wide,142 mm,Vincent Chase Polarized,Vincent Chase Polarized,VC S11167,1500,1500,False,,[],0,True,sunglasses,[],10177,24129,4.65,96,"[{'name': 'Wide', 'id': 24069, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Vincent Chase Polarized', 'id': 20958, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",VCSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,,https://lookr-static.lenskart.com/frameassets/130815/ios/sku_130815.scn,,https://lookr-static.lenskart.com/frameassets/130815/orignal/sku_130815.glb,647,https://ds-static.lenskart.com/product_color_bubble_images/130815_bubble.png,Style Cast (PC),26623,[],True,False,Black Wayfarer Full Rim Sunglasses,[],,,,,
149273,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/black-full-rim-aviator-vincent-chase-the-metal-edit-vc-s13110-c6-polarized-sunglasses_vincent-chase-vc-s13110-c6-c6-sunglasses_sunglasses_g_8952_5july23.jpg,/v/i/black-full-rim-aviator-vincent-chase-the-metal-edit-vc-s13110-c6-polarized-sunglasses_vincent-chase-vc-s13110-c6-c6-sunglasses_sunglasses_g_8952_5july23.jpg,[],https://www.lenskart.com/vincent-chase-vc-s13110-c6-c6-sunglasses.html,Gold,,Wide,142 mm,Vincent Chase Polarized,Vincent Chase Polarized,VC S13110,2000,2000,False,,[],0,True,sunglasses,[],577,46081,4.6,40,"[{'name': 'Wide', 'id': 24069, 'property': 'frame_size_id'}, {'name': 'Aviator', 'id': 11348, 'property': 'frame_shape_id'}, {'name': 'Vincent Chase Polarized', 'id': 20958, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",VCSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,https://lookr-static.lenskart.com/frameassets/149273/android/sku_149273.glb,https://lookr-static.lenskart.com/frameassets/149273/ios/sku_149273.scn,,https://lookr-static.lenskart.com/frameassets/149273/orignal/sku_149273.glb,1098,https://ds-static.lenskart.com/product_color_bubble_images/149273_bubble.png,The Metal Edit,26621,[],True,False,Black Aviator Full Rim Sunglasses,[],,,,,
136404,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-s12808-c2-sunglasses_g_8841.jpg,/j/o/john-jacobs-jj-s12808-c2-sunglasses_g_8841.jpg,[],https://www.lenskart.com/john-jacobs-jj-s12808-c2-sunglasses.html,Gold,,Medium,135 mm,John Jacobs,John Jacobs,JJ S12808,3500,3500,False,John Jacobs,[],0,True,sunglasses,[],3044,15134,4.55,24,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Aviator', 'id': 11348, 'property': 'frame_shape_id'}, {'name': 'John Jacobs', 'id': 10738, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",JJSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,https://lookr-static.lenskart.com/frameassets/136404/android/sku_136404.glb,https://lookr-static.lenskart.com/frameassets/136404/ios/sku_136404.scn,NULL,https://lookr-static.lenskart.com/frameassets/136404/orignal/sku_136404.glb,551,https://ds-static.lenskart.com/product_color_bubble_images/136404_bubble.png,JJ Tints,26651,[],False,False,Gold Square Full Rim Sunglasses,[],,,,,
140453,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/Gunmetal-Black-Light-Grey-Full-Rim-Round-Vincent-Chase-Polarized-VINTAGE-VC-S11164-C7-Polarized-Sunglasses_vincent-chase-vc-s11164-c7-full-rim-steel-new-sunglasses_sunglasses_g_5245_118_02_2022.jpg,/v/i/Gunmetal-Black-Light-Grey-Full-Rim-Round-Vincent-Chase-Polarized-VINTAGE-VC-S11164-C7-Polarized-Sunglasses_vincent-chase-vc-s11164-c7-full-rim-steel-new-sunglasses_sunglasses_g_5245_118_02_2022.jpg,[],https://www.lenskart.com/vincent-chase-vc-s11164-c7-full-rim-round-stainless-steel-stainless-steel-sunglasses.html,Grey,,Narrow,135 mm,Vincent Chase Polarized,Vincent Chase Polarized,VC S11164,2000,2000,False,,[],0,True,sunglasses,[],8307,73676,4.75,117,"[{'name': 'Narrow', 'id': 24070, 'property': 'frame_size_id'}, {'name': 'Round', 'id': 11346, 'property': 'frame_shape_id'}, {'name': 'Vincent Chase Polarized', 'id': 20958, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",VCSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,https://lookr-static.lenskart.com/frameassets/140453/android/sku_140453.glb,https://lookr-static.lenskart.com/frameassets/140453/ios/sku_140453.scn,,https://lookr-static.lenskart.com/frameassets/140453/orignal/sku_140453.glb,4478,https://ds-static.lenskart.com/product_color_bubble_images/140453_bubble.png,Blend Edit,25041,[],True,False,Grey Round Full Rim Sunglasses,[],,,,,
146647,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/Black-Full-Rim-Square-Vincent-Chase--MIRAGE1VC-S11748-C8-Polorized-Sunglasses_vincent-chase-vc-s11748-c8-sunglasses_g_5577_218_02_2022.jpg,/v/i/Black-Full-Rim-Square-Vincent-Chase--MIRAGE1VC-S11748-C8-Polorized-Sunglasses_vincent-chase-vc-s11748-c8-sunglasses_g_5577_218_02_2022.jpg,[],https://www.lenskart.com/vincent-chase-vc-s11748-c8-sunglasses.html,Black,Vacation,Wide,144 mm,Vincent Chase Polarized,Vincent Chase Polarized,VC S11748,2000,2000,False,,[],0,True,sunglasses,[],2375,26965,4.65,125,"[{'name': 'Wide', 'id': 24069, 'property': 'frame_size_id'}, {'name': 'Rectangle/ Square', 'id': 23902, 'property': 'frame_shape_id'}, {'name': 'Vincent Chase Polarized', 'id': 20958, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",VCSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,https://lookr-static.lenskart.com/frameassets/146647/android/sku_146647.glb,https://lookr-static.lenskart.com/frameassets/146647/ios/sku_146647.scn,,https://lookr-static.lenskart.com/frameassets/146647/orignal/sku_146647.glb,4079,https://ds-static.lenskart.com/product_color_bubble_images/146647_bubble.png,Blend Edit,25041,[],True,False,Black Rectangle/ Square Full Rim Sunglasses,[],,,,,
148394,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/matte-gold-brown-solid-full-rim-aviator-john-jacobs-jj-tints-jj-s11472l-c1-polarized-sunglasses_john-jacobs-jj-s11472l-c1-sunglasses_sunglasses_g_9753_28july23.jpg,/j/i/matte-gold-brown-solid-full-rim-aviator-john-jacobs-jj-tints-jj-s11472l-c1-polarized-sunglasses_john-jacobs-jj-s11472l-c1-sunglasses_sunglasses_g_9753_28july23.jpg,[],https://www.lenskart.com/john-jacobs-jj-s11472l-c1-sunglasses.html,Gold,,Medium,137 mm,John Jacobs,John Jacobs,JJ S11472L,5000,5000,False,John Jacobs,[],0,True,sunglasses,[],623,8006,4.85,14,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Aviator', 'id': 11348, 'property': 'frame_shape_id'}, {'name': 'John Jacobs', 'id': 10738, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",JJSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,https://lookr-static.lenskart.com/frameassets/148394/android/sku_148394.glb,https://lookr-static.lenskart.com/frameassets/148394/ios/sku_148394.scn,,https://lookr-static.lenskart.com/frameassets/148394/orignal/sku_148394.glb,175,https://ds-static.lenskart.com/product_color_bubble_images/148394_bubble.png,JJ Tints,26651,[],True,False,Matte Gold Aviator Full Rim Sunglasses,[],,,,,
122961,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/Gold-Grey-Full-Rim-Aviator-Shape--Vincent-Chase-VINTAGE-VC-5158-C85-Sunglasses_vincent-chase-vc-5158-c85-sunglasses_.sunglasses_m_3551_3_1_1_118_02_2022.jpg,/v/i/Gold-Grey-Full-Rim-Aviator-Shape--Vincent-Chase-VINTAGE-VC-5158-C85-Sunglasses_vincent-chase-vc-5158-c85-sunglasses_.sunglasses_m_3551_3_1_1_118_02_2022.jpg,[],https://www.lenskart.com/golden-grey-full-rim-aviator-shape-medium-large-size-58-vincent-chase-top-guns-vc-5158-c85-sunglasses.html,Gold,Vacation,Narrow,135 mm,Vincent Chase,Vincent Chase,VC 5158,1500,1500,False,,[],0,True,sunglasses,[],10699,21313,4.45,512,"[{'name': 'Narrow', 'id': 24070, 'property': 'frame_size_id'}, {'name': 'Aviator', 'id': 11348, 'property': 'frame_shape_id'}, {'name': 'Vincent Chase', 'id': 10733, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",VCSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,,https://lookr-static.lenskart.com/frameassets/122961/ios/sku_122961.scn,NULL,https://lookr-static.lenskart.com/frameassets/122961/orignal/sku_122961.glb,862,https://ds-static.lenskart.com/product_color_bubble_images/122961_bubble.png,The Metal Edit,26621,[],True,False,Golden Aviator Full Rim Sunglasses,[],,,,,
137154,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/silver-black-blue-gradient-full-rim-square-john-jacobs-jj-tints-jj-s12961-c2-sunglasses_john-jacobs-jj-s12961-c2-sunglasses_sunglasses_g_3380_2_05_july23.jpg,/j/i/silver-black-blue-gradient-full-rim-square-john-jacobs-jj-tints-jj-s12961-c2-sunglasses_john-jacobs-jj-s12961-c2-sunglasses_sunglasses_g_3380_2_05_july23.jpg,[],https://www.lenskart.com/john-jacobs-jj-s12961-c2-sunglasses.html,Silver,Working,Wide,139 mm,John Jacobs,John Jacobs,JJ S12961,5000,5000,False,John Jacobs,[],0,True,sunglasses,[],1446,16115,4.6,16,"[{'name': 'Wide', 'id': 24069, 'property': 'frame_size_id'}, {'name': 'Square', 'id': 19404, 'property': 'frame_shape_id'}, {'name': 'John Jacobs', 'id': 10738, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",JJSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,https://lookr-static.lenskart.com/frameassets/137154/android/sku_137154.glb,https://lookr-static.lenskart.com/frameassets/137154/ios/sku_137154.scn,NULL,https://lookr-static.lenskart.com/frameassets/137154/orignal/sku_137154.glb,268,https://ds-static.lenskart.com/product_color_bubble_images/137154_bubble.png,JJ Tints,26651,[],True,False,Silver Square Full Rim Sunglasses,[],,,,,
131321,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-s11744-c1-sunglasses_j_6421_1.jpg,/v/i/vincent-chase-vc-s11744-c1-sunglasses_j_6421_1.jpg,[],https://www.lenskart.com/vincent-chase-vc-s11744-c1-sunglasses.html,Black,Vacation,Wide,141 mm,Vincent Chase Polarized,Vincent Chase Polarized,VC S11744,2000,2000,False,,[],0,True,sunglasses,[],7977,19202,4.5,69,"[{'name': 'Wide', 'id': 24069, 'property': 'frame_size_id'}, {'name': 'Round', 'id': 11346, 'property': 'frame_shape_id'}, {'name': 'Vincent Chase Polarized', 'id': 20958, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",VCSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,,https://lookr-static.lenskart.com/frameassets/131321/ios/sku_131321.scn,NULL,https://lookr-static.lenskart.com/frameassets/131321/orignal/sku_131321.glb,102,https://ds-static.lenskart.com/product_color_bubble_images/131321_bubble.png,Style Cast (PC),26623,[],True,False,Black Round Full Rim Sunglasses,[],,,,,
138628,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/black-gold-green-solid-full-rim-wayfarer-vincent-chase-air-la-s13159-c2-polarized-sunglasses_vincent-chase-vc-s13159-c2-sunglasses_sunglasses_sunglasses_g_9229_1_5july23.jpg,/v/i/black-gold-green-solid-full-rim-wayfarer-vincent-chase-air-la-s13159-c2-polarized-sunglasses_vincent-chase-vc-s13159-c2-sunglasses_sunglasses_sunglasses_g_9229_1_5july23.jpg,[],https://www.lenskart.com/vincent-chase-vc-s13159-c2-sunglasses.html,Black,Vacation,Medium,136 mm,Vincent Chase Polarized,Vincent Chase Polarized,LA S13159,2000,2000,False,Air,[],0,True,sunglasses,[],2322,12517,4.65,35,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Vincent Chase Polarized', 'id': 20958, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",VCSUN,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,https://lookr-static.lenskart.com/frameassets/138628/android/sku_138628.glb,https://lookr-static.lenskart.com/frameassets/138628/ios/sku_138628.scn,,https://lookr-static.lenskart.com/frameassets/138628/orignal/sku_138628.glb,39,https://ds-static.lenskart.com/product_color_bubble_images/138628_bubble.png,Style Cast (PC),26623,[],True,False,Black Wayfarer Full Rim Sunglasses,[],,,,,
