Product ID,Product Brand Name,Product Model Name,Product Color,Product Market Price,Product Lenskart Price,Product Size,Product Width,Product Availability,Product Average Rating,Product Purchase Count,Product Wishlist Count,Product Total Number of Ratings,Product Tags,Product Color Options,Product Classification,Product Search Name,Product URL
146012,Lenskart Air,LA E13517,Transparent,1700,1700,Medium,134 mm,4074,4.65,77095,2904,146,Air Essentials,[],eyeframe,Transparent Full Rim Rectangle Eyeglasses,https://www.lenskart.com/lenskart-air-la-e13517-c2-eyeglasses.html
216521,Lenskart Hustlr,LA E15417-W,Ocean Blue,1700,1700,Medium,139 mm,2369,0.0,5164,0,NA,Ocean Blue,[],eyeframe,Peyush Bansal Shark Tank Ocean Blue Full Rim Lenskart Hustlr Eyeglasses,https://www.lenskart.com/lenskart-hustlr-la-e15415-c1-eyeglasses.html
217261,Lenskart Hustlr,LH E16985-W,Transparent,1700,1700,Medium,139 mm,2219,0.0,2602,0,NA,Hustlr ACE-Crystal,[],eyeframe,Lenskart Hustlr LH E16985-W C5 Eyeglasses,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c5-eyeglasses.html
216712,Lenskart Hustlr,LA E15417-W,Pink,1700,1700,Medium,139 mm,1412,0.0,2939,0,NA,Flamingo,[],eyeframe,Flamingo Full Rim Wayfarer Lenskart Air Hustlr LA E15417-W-C3 Eyeglasses,https://www.lenskart.com/lenskart-la-e15417-w-c7-eyeglasses.html
201333,Lenskart Air,LA E13068,Grey,1700,1700,Medium,134 mm,1055,4.6,26362,0,165,Air Fusion,[],eyeframe,Grey Transparent Full Rim Wayfarer Eyeglasses,https://www.lenskart.com/lenskart-air-la-e13068-c6-eyeglasses.html
201315,Vincent Chase,VC E13634,Silver Black,1700,1700,Medium,134 mm,3473,4.75,8586,0,124,Sleek Steel,[],eyeframe,Black Silver Full Rim Geometric Eyeglasses,https://www.lenskart.com/vincent-chase-vc-e13634-c7-eyeglasses.html
211383,Lenskart Air,LA E16153,Blue,1700,1700,Medium,135 mm,643,0.0,2131,0,NA,Blue Billion,[],eyeframe,Blue Orange Full Rim Rectangle Lenskart Air Essentials LA E16153-C3 Eyeglasses,https://www.lenskart.com/lenskart-air-la-e16153-c-c3-eyeglasses.html
147507,Vincent Chase,VC E13037,Transparent,1700,1700,Medium,136 mm,10740,4.5,62405,8886,480,Classic Acetate,[],eyeframe,Transparent Blue Full Rim Rectangle Eyeglasses,https://www.lenskart.com/vincent-chase-vc-e13037-full-rim-rect-way-acetate-crystal-blue-transparent-c6-eyeglasses.html
208951,Lenskart Hustlr,LA E15417-W,Navy,1700,1700,Medium,139 mm,11084,4.6,21483,0,288,Navy,[],eyeframe,Navy Full Rim Wayfarer Eyeglasses,https://www.lenskart.com/lenskart-hustlr-la-e15417-c15-eyeglasses.html
217202,Lenskart Hustlr,LH E16985-W,Green,1700,1700,Medium,139 mm,2245,0.0,2263,0,NA,Hustlr ACE-Olive,[],eyeframe,NA,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c2-eyeglasses.html
215389,Vincent Chase,VC E16665,Green,1700,1700,Medium,137 mm,1116,0.0,661,0,NA,In Bloom,[],eyeframe,NA,https://www.lenskart.com/vincent-chase-vc-e16665-c2-eyeglasses.html
217201,Lenskart Hustlr,LH E16985-W,Blue,1700,1700,Medium,139 mm,1784,0.0,2525,0,NA,Hustlr ACE-Denim,[],eyeframe,NA,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c1-eyeglasses.html
149607,Vincent Chase,VC E14211,Black,1700,1700,Medium,137 mm,244,4.7,17863,8286,62,Sleek Steel,[],eyeframe,Black Gunmetal Full Rim Aviator Eyeglasses,https://www.lenskart.com/vincent-chase-vc-e14211-c1-eyeglasses.html
217431,Lenskart Hustlr,LA E15417-W,Green,1700,1700,Medium,139 mm,1862,0.0,1606,0,NA,Electric Green,[],eyeframe,Lenskart Air LA E15417-W C4 Eyeglasses,https://www.lenskart.com/lenskart-air-la-e15417-wc4-eyeglasses.html
