id,image_url,image_url_suffix,imageUrls,product_url,color,occasion,size,width,suited_for,brand_name,brand_name_en,model_name,prices,is_tbyb,tags,color_options,totalColorAvailable,is_ditto,classification,specifications,wishlistCount,purchaseCount,avgRating,hashtagList,offerName,cmsLinkAndroid,cmsLinkIos,qty,frameColorImage,subCollection,subCollectionId,inclusiveText,relatedItems,isCygnusEnabled,isCashbackApplicable,searchProductName,prescriptionType,brand_logo,totalNoOfRatings,arModelAndroidUrl,arModelIOSUrl,arModelMsiteAndDesktopUrl,arModelOriginalUrl
217922,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-electric-green-full-rim-wayfarer_csvfile-1707128820643-217922_(2).jpg,/l/i/peyush-bansal-shark-tank-electric-green-full-rim-wayfarer_csvfile-1707128820643-217922_(2).jpg,[],https://www.lenskart.com/lenskart-hustlr-lb-e14058-w-c2-eyeglasses.html,Electric Green,,Medium,139 mm,,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"1700,1700",False,Electric Green,[],0,False,non_power_reading,[],0,4505,0.0,"Medium,Wayfarer,Lenskart Hustlr,Full Rim",VCEYE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,263,https://ds-static.lenskart.com/product_color_bubble_images/217922_bubble.png,Lenskart Hustlr,26161.0,,[],False,False,Peyush Bansal Shark Tank Electric Green Full Rim Wayfarer,[],,,,,,
148704,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-blue-sky-full-rim-hustlr-eyeglasses_csvfile-1679608171843-bluzp1.jpg,/l/i/peyush-bansal-shark-tank-blue-sky-full-rim-hustlr-eyeglasses_csvfile-1679608171843-bluzp1.jpg,[],https://www.lenskart.com/lenskart-blu-shark-tank-lb-e14058-c3-eyeglasses.html,Blue Sky,,Medium,139 mm,,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"1700,1700",False,Blue Sky,[],0,True,non_power_reading,[],7121,168891,4.6,"Medium,Wayfarer,Lenskart Hustlr,Full Rim",LKSHARK,https://www.lenskart.com/cms-frame-size,,23620,https://ds-static.lenskart.com/product_color_bubble_images/148704_bubble.png,Lenskart Hustlr,26161.0,,[],True,False,Blue Sky Full Rim Wayfarer Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,298.0,,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/148704/ios/sku_148704.scn,,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/148704/orignal/sku_148704.glb
148702,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-dark-night-full-rim-hustlr-eyeglasses_csvfile-1679642300116-black2.jpg,/l/i/peyush-bansal-shark-tank-dark-night-full-rim-hustlr-eyeglasses_csvfile-1679642300116-black2.jpg,[],https://www.lenskart.com/lenskart-hustlr-lb-e14058-c1-eyeglasses.html,Dark Night,,Medium,139 mm,,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"1700,1700",False,Dark Night,[],0,True,non_power_reading,[],7533,47273,4.6,"Medium,Wayfarer,Lenskart Hustlr,Full Rim",VCEYE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,4594,https://ds-static.lenskart.com/product_color_bubble_images/148702_bubble.png,Lenskart Hustlr,26161.0,,[],True,False,Dark Night Full Rim Wayfarer Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,298.0,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/148702/android/sku_148702.glb,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/148702/ios/sku_148702.scn,,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/148702/orignal/sku_148702.glb
208966,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-screen-glasses:--grey--full-rim-wayfarer-lenskart-blu-lb-e14058-h-c39_csvfile-1676454791825-g_3913.jpg,/l/i/blue-block-screen-glasses:--grey--full-rim-wayfarer-lenskart-blu-lb-e14058-h-c39_csvfile-1676454791825-g_3913.jpg,[],https://www.lenskart.com/lenskart-hustlr-lb-e14058-H-c39-eyeglasses.html,Greystone,,Medium,139 mm,,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"1700,1700",False,Greystone,[],0,True,non_power_reading,[],0,24511,4.6,"Medium,Wayfarer,Lenskart Hustlr,Full Rim",LKSHARK,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,7105,https://ds-static.lenskart.com/product_color_bubble_images/208966_bubble.png,Lenskart Hustlr,26161.0,,[],True,False,Grey Full Rim Wayfarer Eyeglasses,[],,298.0,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/208966/android/sku_208966.glb,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/208966/ios/sku_208966.scn,,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/208966/orignal/sku_208966.glb
208962,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-jade-green-full-rim-wayfarer-lenskart-hustlr-lb-e14058-h-c35_csvfile-1683891330074-g_6823.jpg,/l/i/peyush-bansal-shark-tank-jade-green-full-rim-wayfarer-lenskart-hustlr-lb-e14058-h-c35_csvfile-1683891330074-g_6823.jpg,[],https://www.lenskart.com/lenskart-hustlr-lb-e14058-c35-eyeglasses.html,Jade Green,,Medium,139 mm,,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"1700,1700",False,Jade Green,[],0,True,non_power_reading,[],0,16340,4.6,"Medium,Wayfarer,Lenskart Hustlr,Full Rim",LKSHARK,https://www.lenskart.com/cms-frame-size,,6520,https://ds-static.lenskart.com/product_color_bubble_images/208962_bubble.png,Lenskart Hustlr,26161.0,,[],True,False,Jade Green Full Rim Wayfarer Eyeglasses,[],,298.0,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/208962/android/sku_208962.glb,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/208962/ios/sku_208962.scn,,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/208962/orignal/sku_208962.glb
143888,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-gold-tortoise-gold-black-full-rim-square-lenskart-blu-lb-e13529-c3_vincent-chase-vc-e13529-c3-eyeglasses_g_902922_02_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-gold-tortoise-gold-black-full-rim-square-lenskart-blu-lb-e13529-c3_vincent-chase-vc-e13529-c3-eyeglasses_g_902922_02_2022.jpg,[],https://www.lenskart.com/vincent-chase-vc-e13529-c3-eyeglasses.html,Gold,,Medium,136 mm,,Lenskart Blu,Lenskart Blu,LB E13529,"2000,2000",False,Zero Power,[],0,True,non_power_reading,[],4686,10432,4.5,"Medium,Square,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,1412,https://ds-static.lenskart.com/product_color_bubble_images/143888_bubble.png,,,,[],True,False,Golden Tortoise Full Rim Square Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,208.0,https://lookr-static.lenskart.com/frameassets/143888/android/sku_143888.glb,https://lookr-static.lenskart.com/frameassets/143888/ios/sku_143888.scn,,https://lookr-static.lenskart.com/frameassets/143888/orignal/sku_143888.glb
206972,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-amber-full-rim-hustlr-eyeglasses_csvfile-1679608097495-orangezp1.jpg,/l/i/peyush-bansal-shark-tank-amber-full-rim-hustlr-eyeglasses_csvfile-1679608097495-orangezp1.jpg,[],https://www.lenskart.com/lenskart-hustlr-lb-e14058-H-c18-eyeglasses.html,Amber,,Medium,139 mm,,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"1700,1700",False,Amber,[],0,True,non_power_reading,[],0,36551,4.7,"Medium,Wayfarer,Lenskart Hustlr,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,11475,https://ds-static.lenskart.com/product_color_bubble_images/206972_bubble.png,Lenskart Hustlr,26161.0,,[],True,False,Amber Full Rim Wayfarer Eyeglasses,[],,36.0,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/206972/android/sku_206972.glb,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/206972/ios/sku_206972.scn,,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/206972/orignal/sku_206972.glb
206692,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-monza-red-full-rim-hustlr-eyeglasses_g_7905_02_01_2023.jpg,/l/i/peyush-bansal-shark-tank-monza-red-full-rim-hustlr-eyeglasses_g_7905_02_01_2023.jpg,[],https://www.lenskart.com/lenskart-hustlr-lb-e14058-H-c16-eyeglasses.html,Monza Red,,Medium,139 mm,,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"1700,1700",False,Monza Red,[],0,True,non_power_reading,[],0,6074,4.7,"Medium,Wayfarer,Lenskart Hustlr,Full Rim",LKSHARK,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,2740,https://ds-static.lenskart.com/product_color_bubble_images/206692_bubble.png,Lenskart Hustlr,26161.0,,[],True,False,Monza Red Full Rim Wayfarer Eyeglasses,[],,36.0,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/206692/android/sku_206692.glb,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/206692/ios/sku_206692.scn,,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/206692/orignal/sku_206692.glb
143890,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-gunmetal-grey-transparent-full-rim-square-lenskart-blu-lb-e13529-c5_vincent-chase-vc-e13529-c5-eyeglasses_g_898122_02_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-gunmetal-grey-transparent-full-rim-square-lenskart-blu-lb-e13529-c5_vincent-chase-vc-e13529-c5-eyeglasses_g_898122_02_2022.jpg,[],https://www.lenskart.com/vincent-chase-vc-e13529-c5-eyeglasses.html,Grey,,Medium,136 mm,,Lenskart Blu,Lenskart Blu,LB E13529,"2000,2000",False,Zero Power,[],0,True,non_power_reading,[],11206,17148,4.5,"Medium,Square,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,4453,https://ds-static.lenskart.com/product_color_bubble_images/143890_bubble.png,,,,[],True,False,Gunmetal Grey Transparent Full Rim Square Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,208.0,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/143890/android/sku_143890.glb,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/143890/ios/sku_143890.scn,,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/143890/orignal/sku_143890.glb
148744,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-light-blue-transparent-full-rim-round-lenskart-blu-lb-e14061-c1_lenskart-blu-lb-e14061-c1-eyeglasses_lenskart-blu-lb-e14061-c1-eyeglasses_eyeglasses_g_9196_325_02_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-light-blue-transparent-full-rim-round-lenskart-blu-lb-e14061-c1_lenskart-blu-lb-e14061-c1-eyeglasses_lenskart-blu-lb-e14061-c1-eyeglasses_eyeglasses_g_9196_325_02_2022.jpg,[],https://www.lenskart.com/blue-block-phone-computer-glasses-blue-transparent-full-rim-round-lenskart-blu-lb-e14061-c1.html,Blue,,Extra Wide,142 mm,,Lenskart Blu,Lenskart Blu,LB E14061,"1200,1200",False,Zero Power,[],0,True,non_power_reading,[],6066,14700,4.5,"Extra Wide,Round,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,991,https://ds-static.lenskart.com/product_color_bubble_images/148744_bubble.png,,,,[],True,False,Light Blue Transparent Full Rim Round Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,50.0,https://lookr-static.lenskart.com/frameassets/148744/android/sku_148744.glb,https://lookr-static.lenskart.com/frameassets/148744/ios/sku_148744.scn,,https://lookr-static.lenskart.com/frameassets/148744/orignal/sku_148744.glb
